37695 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge', 'refload']
38595 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
38715 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
39615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
39915 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
40455 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
41355 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
41715 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
41835 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
42735 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
42915 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
43215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
44115 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
45015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
45915 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
46815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge', 'refload']
47715 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
48615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
49515 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
49815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
50115 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
50415 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
51015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
51615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
51675 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
51915 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
52095 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
52215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
