startTime,endTime,energy
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
27,27,0.0024079980296562633
28,28,0.019380462041705245
29,29,0.047907488154602954
30,30,0.08417408175831308
31,31,0.11972233442802158
32,32,0.17514941499818681
33,33,0.29168627060530744
34,34,0.4347745116070279
35,35,0.6022526477816783
36,36,0.78769822660678
37,37,0.97766719609169
38,38,1.164330211359617
39,39,1.3433160602418395
40,40,1.5112021388002828
41,41,1.6990225321666759
42,42,1.8872779971194802
43,43,2.0301778230810967
44,44,2.122999573878641
45,45,2.04623520923882
46,46,1.8614476056087694
47,47,1.7417980751509123
48,48,1.713596753325279
49,49,1.956541259123569
50,50,2.3589384992351228
51,51,2.679294239498209
52,52,2.9051405467370963
53,53,2.9357391662978323
54,54,2.833723953431882
55,55,2.7427395508876105
56,56,2.667582086790971
57,57,2.617619282855113
58,58,2.5835086636022395
59,59,2.5486005245045775
61,61,2.4888569743723497
62,62,2.4644660040850197
63,63,2.4098512937824115
64,64,2.327717795386465
65,65,2.2097583806233754
66,66,2.068247384708575
67,67,1.9234676786128428
68,68,1.7751546324749838
69,69,1.634182667142464
71,71,1.3331546093289928
72,72,1.1581394750543084
73,73,0.9750152878133018
74,74,0.7876590986091939
75,75,0.6013583031889032
76,76,0.4209503408864626
77,77,0.2864586505074264
78,78,0.25039234435693253
79,79,0.22021682477010313
80,80,0.1882533385852916
81,81,0.14862702967367739
82,82,0.1048205559992999
83,83,0.06778926809330658
84,84,0.03742092397055669
85,85,0.01709735926680103
86,86,0.004054927998965261
87,87,0.0
88,88,0.0
89,89,0.0
90,90,0.0
91,91,0.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,0.0
