startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,-0.0
25,25,-0.0
26,26,0.0021522271134606667
27,27,0.019096870627156003
28,28,0.04746915742122
29,29,0.08341408451053332
30,30,0.1194812499514
31,31,0.17340175057773335
32,32,0.2904139053016
33,33,0.432737373559
34,34,0.6011172022981334
35,35,0.7859893179207333
36,36,0.977040873483667
37,37,1.1628261633019998
38,38,1.3404172529353333
39,39,1.509154199742667
40,40,1.6960011131133335
41,41,1.8855998882406668
42,42,2.030031949618
43,43,2.1220014318733327
44,44,2.047402700775333
45,45,1.8606584908279997
46,46,1.7422504660746665
47,47,1.7125666837413334
48,48,1.9481308466926668
49,49,2.356034380814666
50,50,2.6773007447460007
51,51,2.903538532922
52,52,2.936468359923333
53,53,2.8342724989666666
54,54,2.7446308269733333
55,55,2.668805285392
56,56,2.618083800050667
57,57,2.5843498013306667
58,58,2.5493486943059995
59,59,2.512104083753334
60,60,2.489258909944667
61,61,2.465236956095333
62,62,2.4111549767006664
63,63,2.329113458687333
64,64,2.211232890654
65,65,2.0703879585626663
66,66,1.9259063116493336
67,67,1.7779124480040003
68,68,1.6363284120893329
69,69,1.4924842875786666
70,70,1.332143068606
71,71,1.1591156008806667
72,72,0.9781576917367334
73,73,0.7918721367138667
74,74,0.6050359589336666
75,75,0.42520520717899996
76,76,0.28719922460106667
77,77,0.2506550793743334
78,78,0.22060213909506668
79,79,0.18887223785393334
80,80,0.14890561344519995
81,81,0.10513417736536002
82,82,0.06803410658694
83,83,0.037632969334193335
84,84,0.017296365616260006
85,85,0.004207319667748
86,86,-0.0
87,87,-0.0
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
