startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,-0.0
25,25,-0.0
26,26,0.002152227112726
27,27,0.019096870624880663
28,28,0.04746915744324
29,29,0.08341408455037332
30,30,0.11948124983059999
31,31,0.17340175067333333
32,32,0.2904139055589333
33,33,0.4327373732484667
34,34,0.6011172033038668
35,35,0.7859893184681335
36,36,0.9770408773635334
37,37,1.1628261651766665
38,38,1.3404172583920002
39,39,1.5091542022893334
40,40,1.6960011197033333
41,41,1.8855998911146667
42,42,2.0300319473753334
43,43,2.1220014274326666
44,44,2.0474026904353337
45,45,1.8606584864173332
46,46,1.7422504654073336
47,47,1.7125666824333332
48,48,1.948130862062
49,49,2.3560343940866666
50,50,2.677300761579333
51,51,2.903538556746
52,52,2.9364683424586664
53,53,2.8342724837733337
54,54,2.7446308154866665
55,55,2.6688052803826663
56,56,2.618083799346666
57,57,2.5843497950573338
58,58,2.549348682004666
59,59,2.5121040819100005
60,60,2.48925890642
61,61,2.4652369532013325
62,62,2.4111549716553333
63,63,2.329113452132
64,64,2.2112328816766667
65,65,2.070387951081333
66,66,1.9259063057166668
67,67,1.7779124435646667
68,68,1.636328407274667
69,69,1.4924842864226664
70,70,1.332143068315333
71,71,1.1591156009826669
72,72,0.9781576915236667
73,73,0.7918721355388
74,74,0.6050359597668667
75,75,0.4252052068929334
76,76,0.28719922487246663
77,77,0.2506550787210667
78,78,0.22060213805593332
79,79,0.18887223736533332
80,80,0.14890561318460002
81,81,0.10513417731339333
82,82,0.06803410646868
83,83,0.03763296927860666
84,84,0.017296365576966663
85,85,0.004207319662504667
86,86,-0.0
87,87,-0.0
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
