startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,-0.0
25,25,-0.0
26,26,0.0021522271127186673
27,27,0.019096870624875334
28,28,0.04746915744389333
29,29,0.08341408455156665
30,30,0.11948124983333332
31,31,0.1734017506786
32,32,0.2904139055718
33,33,0.4327373732752667
34,34,0.6011172033488001
35,35,0.7859893185425334
36,36,0.9770408774944666
37,37,1.1628261653206668
38,38,1.3404172585759997
39,39,1.5091542025259996
40,40,1.6960011199433331
41,41,1.8855998913926668
42,42,2.03003194764
43,43,2.122001427686
44,44,2.0474026901813334
45,45,1.8606584861999997
46,46,1.7422504653280002
47,47,1.7125666824986665
48,48,1.9481308628486664
49,49,2.3560343949180003
50,50,2.677300762273334
51,51,2.9035385573566668
52,52,2.936468342259333
53,53,2.834272483564667
54,54,2.744630815345334
55,55,2.6688052801793334
56,56,2.618083799276667
57,57,2.5843497950766667
58,58,2.549348682102
59,59,2.5121040818159996
60,60,2.4892589070126663
61,61,2.465236953093333
62,62,2.4111549714706664
63,63,2.329113451889333
64,64,2.21123288135
65,65,2.0703879507833336
66,66,1.9259063054586663
67,67,1.7779124433466669
68,68,1.636328407192
69,69,1.4924842862860002
70,70,1.3321430681926663
71,71,1.1591156008780001
72,72,0.9781576914362667
73,73,0.7918721355036665
74,74,0.6050359597352666
75,75,0.42520520688533325
76,76,0.28719922486433336
77,77,0.25065507872320003
78,78,0.22060213807340004
79,79,0.1888722373706667
80,80,0.14890561318146672
81,81,0.10513417731089998
82,82,0.06803410646713333
83,83,0.03763296927825333
84,84,0.017296365576686665
85,85,0.004207319662432666
86,86,-0.0
87,87,-0.0
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
