startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,-0.0
25,25,-0.0
26,26,0.0021522271125313337
27,27,0.019096870624334666
28,28,0.04746915745559333
29,29,0.08341408457042002
30,30,0.11948124988440001
31,31,0.17340175070886668
32,32,0.29041390557273333
33,33,0.4327373732611334
34,34,0.6011172027591999
35,35,0.7859893177125334
36,36,0.9770408760273331
37,37,1.162826163562
38,38,1.340417255223333
39,39,1.5091541997146667
40,40,1.6960011121746663
41,41,1.8855998854926668
42,42,2.0300319452633335
43,43,2.1220014281586668
44,44,2.047402699596
45,45,1.860658494289333
46,46,1.7422504693193337
47,47,1.712566683412
48,48,1.9481308446093333
49,49,2.3560343776113335
50,50,2.677300743435333
51,51,2.903538537237334
52,52,2.936468358638667
53,53,2.8342724944933333
54,54,2.744630824910667
55,55,2.6688052870806667
56,56,2.6180838031753333
57,57,2.584349800252
58,58,2.5493486886373335
59,59,2.512104085388667
60,60,2.4892589212093332
61,61,2.4652369561473337
62,62,2.4111549765586666
63,63,2.3291134585000006
64,64,2.211232889819333
65,65,2.0703879586519998
66,66,1.92590631259
67,67,1.7779124497346668
68,68,1.636328412978
69,69,1.4924842913766665
70,70,1.3321430726860002
71,71,1.1591156044746667
72,72,0.9781576938668001
73,73,0.7918721373596667
74,74,0.6050359607328
75,75,0.42520520754126667
76,76,0.28719922490486677
77,77,0.250655078805
78,78,0.22060213849866667
79,79,0.1888722375282667
80,80,0.14890561315366665
81,81,0.1051341772729
82,82,0.06803410644459333
83,83,0.03763296926300667
84,84,0.017296365570546663
85,85,0.004207319661971334
86,86,-0.0
87,87,-0.0
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
