startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,-0.0
25,25,-0.0
26,26,0.0021522271131026666
27,27,0.01909687062611133
28,28,0.047469157433706666
29,29,0.08341408453354668
30,30,0.11948124991879999
31,31,0.17340175065246663
32,32,0.2904139055115333
33,33,0.4327373736701333
34,34,0.6011172032149334
35,35,0.7859893190004666
36,36,0.9770408765483333
37,37,1.1628261658180001
38,38,1.3404172575353333
39,39,1.5091542036733336
40,40,1.6960011195999998
41,41,1.8855998933353333
42,42,2.030031951914667
43,43,2.1220014326986667
44,44,2.0474026920906665
45,45,1.8606584853026666
46,46,1.7422504642540002
47,47,1.7125666836086668
48,48,1.948130864199334
49,49,2.356034397348667
50,50,2.677300762062667
51,51,2.903538552415333
52,52,2.9364683478959996
53,53,2.8342724885153334
54,54,2.7446308190253332
55,55,2.668805279906
56,56,2.6180837981893332
57,57,2.5843497979766665
58,58,2.5493486891213335
59,59,2.512104081348
60,60,2.489258911669999
61,61,2.4652369532606673
62,62,2.4111549718453333
63,63,2.329113452366
64,64,2.2112328821846674
65,65,2.070387951162
66,66,1.9259063054206667
67,67,1.7779124429226665
68,68,1.6363284083379999
69,69,1.4924842849213336
70,70,1.3321430666146665
71,71,1.1591155994226667
72,72,0.9781576905048667
73,73,0.7918721356882666
74,74,0.605035958908
75,75,0.42520520696306663
76,76,0.28719922465313336
77,77,0.2506550791218
78,78,0.22060213878853338
79,79,0.18887223769453335
80,80,0.14890561332846664
81,81,0.10513417733187999
82,82,0.06803410653266667
83,83,0.03763296930362666
84,84,0.017296365598033332
85,85,0.0042073196661
86,86,-0.0
87,87,-0.0
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
