startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,-0.0
25,25,-0.0
26,26,0.002152227112464
27,27,0.019096870624071997
28,28,0.04746915745765332
29,29,0.08341408457288
30,30,0.11948124989553331
31,31,0.173401750691
32,32,0.2904139054839333
33,33,0.43273737307833343
34,34,0.6011172021222667
35,35,0.7859893167538666
36,36,0.9770408743168666
37,37,1.1628261616120001
38,38,1.3404172521113333
39,39,1.5091541964946666
40,40,1.6960011062353335
41,41,1.8855998802833338
42,42,2.03003194208
43,43,2.1220014265693337
44,44,2.047402706637333
45,45,1.8606585003046667
46,46,1.7422504720966665
47,47,1.7125666835273334
48,48,1.9481308290240003
49,49,2.356034362609333
50,50,2.6773007277806666
51,51,2.903538522048
52,52,2.9364683688926676
53,53,2.8342725019406667
54,54,2.744630831166
55,55,2.668805292325333
56,56,2.6180838058673332
57,57,2.5843498029686667
58,58,2.5493486915126673
59,59,2.5121040880339995
60,60,2.489258924598
61,61,2.4652369585886666
62,62,2.4111549806579995
63,63,2.329113463848
64,64,2.2112328967853334
65,65,2.0703879650699997
66,66,1.9259063183393335
67,67,1.7779124548073333
68,68,1.6363284167853334
69,69,1.4924842951773327
70,70,1.3321430760600002
71,71,1.1591156072139999
72,72,0.9781576958403333
73,73,0.7918721386682667
74,74,0.6050359615264665
75,75,0.4252052079802
76,76,0.2871992249881334
77,77,0.25065507883439997
78,78,0.22060213865613335
79,79,0.1888722375950667
80,80,0.14890561315093334
81,81,0.10513417726880002
82,82,0.06803410643985998
83,83,0.03763296926210667
84,84,0.017296365569200004
85,85,0.004207319661578666
86,86,-0.0
87,87,-0.0
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
